breach_id,ticket_id,breach_type,sla_target_hours,actual_hours,breach_minutes
1,11,resolution,24,28.51,270
2,13,resolution,72,75.94,236
3,15,resolution,72,74.87,172
4,20,resolution,72,76.87,292
5,21,resolution,72,74.25,134
6,24,resolution,72,73.56,93
7,46,resolution,8,9.9,113
8,65,resolution,24,25.42,85
9,71,resolution,72,76.51,270
10,73,resolution,24,29.33,319
11,78,resolution,24,29.72,343
12,84,resolution,24,25.28,76
13,86,resolution,8,11.31,198
14,91,resolution,24,25.13,67
15,110,resolution,24,29.22,313
16,118,resolution,24,26.48,148
17,121,resolution,24,26.61,156
18,184,resolution,72,75.77,226
19,186,resolution,8,11.68,220
20,214,resolution,24,25.8,107
21,225,resolution,24,27.09,185
22,231,resolution,72,77.08,304
23,234,resolution,8,13.45,326
24,254,resolution,8,12.23,253
25,264,resolution,24,29.42,325
26,271,resolution,72,74.44,146
27,272,resolution,8,13.92,354
28,284,resolution,24,29.74,344
29,304,resolution,24,29.55,332
30,309,resolution,24,26.93,175
31,314,resolution,24,29.59,335
32,324,resolution,72,74.47,148
33,354,resolution,8,11.03,181
34,360,resolution,72,73.77,106
35,363,resolution,72,73.15,69
36,364,resolution,72,75.27,196
37,376,resolution,72,77.88,352
38,379,resolution,72,76.79,287
39,386,resolution,24,28.49,269
40,414,resolution,24,28.84,290
41,420,resolution,72,76.21,252
42,422,resolution,24,28.76,285
43,431,resolution,72,75.41,204
44,449,resolution,24,27.47,208
45,463,resolution,8,11.24,194
46,466,resolution,72,74.18,130
47,469,resolution,24,26.0,119
48,472,resolution,24,27.91,234
49,476,resolution,24,25.87,112
50,478,resolution,8,10.54,152
51,493,resolution,24,25.14,68
52,501,resolution,72,73.83,109
53,502,resolution,24,25.64,98
54,508,resolution,8,13.01,300
55,529,resolution,24,26.88,172
56,532,resolution,8,11.02,181
57,547,resolution,24,27.12,187
58,567,resolution,24,25.42,85
59,599,resolution,72,73.13,67
60,601,resolution,24,28.5,270
61,616,resolution,72,73.67,100
62,626,resolution,24,29.7,342
63,631,resolution,24,27.79,227
64,635,resolution,72,76.94,296
65,647,resolution,72,75.43,205
66,707,resolution,72,77.67,340
